Unnamed: 0,id,scrape_id,host_id,latitude,longitude,neighbourhood_cleansed,neighbourhood_group_cleansed,property_type,room_type,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,availability_eoy,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,number_of_reviews_ly,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_communication,review_scores_location
0,18674,20250612050654,71615,41.40556,2.17262,la Sagrada Família,Eixample,Entire rental unit,Entire home/apt,2010-01-19,"Barcelona, Spain",within an hour,96%,91%,f,44.0,46.0,t,t,8,2.0,2 baths,3.0,6.0,"[""30 inch TV"", ""AC - split type ductless system"", ""Hot water"", ""Wifi"", ""Shampoo"", ""Hangers"", ""Hair dryer"", ""Kitchen"", ""Pack \u2019n play/Travel crib"", ""City skyline view"", ""Elevator"", ""Crib"", ""Host greets you"", ""Iron"", ""Free washer \u2013 In unit"", ""Private patio or balcony"", ""Pets allowed"", ""Coffee maker"", ""Dishes and silverware"", ""Refrigerator"", ""Heating"", ""Essentials""]",$232.00,1,1125,1.0,5.0,999.0,999.0,2.2,999.0,t,11,32,53,65,65,48,6,2,5,0.33,4.3,4.36,4.53,4.6,4.81
200,694516,20250612050654,3019128,41.42593,2.16748,la Font d'en Fargues,Horta-Guinardó,Entire condo,Entire home/apt,2012-07-22,"Barcelona, Spain",within a day,100%,71%,t,1.0,1.0,t,t,2,1.0,1 bath,1.0,2.0,"[""Bed linens"", ""Smoking allowed"", ""Private entrance"", ""Hot water"", ""Private backyard \u2013 Fully fenced"", ""Cooking basics"", ""Coffee maker: pour-over coffee"", ""Wifi"", ""Shampoo"", ""Microwave"", ""Hangers"", ""Hair dryer"", ""Long term stays allowed"", ""Kitchen"", ""Children\u2019s books and toys for ages 0-2 years old and 2-5 years old"", ""Baby monitor"", ""Toaster"", ""Free parking on premises"", ""Luggage dropoff allowed"", ""Pack \u2019n play/Travel crib"", ""Wine glasses"", ""Portable fans"", ""Extra pillows and blankets"", ""Ping pong table"", ""Dedicated workspace"", ""Iron"", ""Outdoor dining area"", ""Clothing storage: walk-in closet, closet, and wardrobe"", ""Outdoor furniture"", ""Free washer \u2013 In unit"", ""Private patio or balcony"", ""BBQ grill"", ""Pets allowed"", ""Cleaning products"", ""Drying rack for clothing"", ""Laundromat nearby"", ""Dishes and silverware"", ""Refrigerator"", ""Heating"", ""Freezer"", ""Essentials"", ""Dishwasher""]",$92.00,31,450,31.0,31.0,450.0,450.0,31.0,450.0,t,0,0,0,20,0,62,4,1,4,0.4,4.87,4.92,4.84,4.87,4.71
400,1085376,20250612050654,5966973,41.39578,2.18131,el Fort Pienc,Eixample,Entire rental unit,Entire home/apt,2013-04-17,"Barcelona, Spain",within a few hours,100%,55%,f,1.0,2.0,t,t,2,1.0,1 bath,1.0,1.0,"[""Shower gel"", ""Long term stays allowed"", ""Portable fans"", ""Freezer"", ""Bed linens"", ""Cleaning products"", ""Dining table"", ""Refrigerator"", ""Fire extinguisher"", ""Elevator"", ""Essentials"", ""Toaster"", ""Heating"", ""Hangers"", ""Body soap"", ""First aid kit"", ""Paid parking lot off premises"", ""Hot water"", ""Clothing storage: wardrobe"", ""Cooking basics"", ""Wifi"", ""Shampoo"", ""Wine glasses"", ""Hair dryer"", ""Stove"", ""Laundromat nearby"", ""Dishes and silverware"", ""TV"", ""Kitchen"", ""Hot water kettle"", ""Microwave""]",$120.00,3,60,1.0,2.0,60.0,60.0,1.0,60.0,t,3,17,28,266,95,547,46,4,48,3.73,4.55,4.6,4.53,4.75,4.81
600,1330353,20250612050654,3799101,41.39779,2.15904,la Vila de Gràcia,Gràcia,Entire rental unit,Entire home/apt,2012-10-08,"Barcelona, Spain",within an hour,100%,100%,t,5.0,6.0,t,t,4,2.0,2 baths,2.0,4.0,"[""Bed linens"", ""Oven"", ""Conditioner"", ""Sun loungers"", ""Lockbox"", ""Self check-in"", ""Babysitter recommendations"", ""Baby bath"", ""Hot water"", ""Room-darkening shades"", ""Books and reading material"", ""Body soap"", ""High chair"", ""50 inch HDTV"", ""Central air conditioning"", ""Paid parking on premises"", ""Cooking basics"", ""Wifi"", ""Washer"", ""Backyard"", ""Shampoo"", ""Microwave"", ""Hangers"", ""Hair dryer"", ""Long term stays allowed"", ""Kitchen"", ""Stove"", ""Exterior security cameras on property"", ""Toaster"", ""Luggage dropoff allowed"", ""Dining table"", ""Wine glasses"", ""Dryer"", ""Hot water kettle"", ""Elevator"", ""Crib"", ""Safe"", ""Iron"", ""Outdoor dining area"", ""Ethernet connection"", ""Coffee maker"", ""Patio or balcony"", ""Shower gel"", ""Clothing storage: closet"", ""Dishes and silverware"", ""Refrigerator"", ""Heating"", ""Freezer"", ""Essentials"", ""Dishwasher""]",$352.00,2,1125,1.0,3.0,1125.0,1125.0,1.5,1125.0,t,8,24,46,129,129,76,12,1,18,1.84,4.89,4.88,4.82,4.87,4.93
800,2512546,20250612050654,3038266,41.39284,2.16576,la Dreta de l'Eixample,Eixample,Entire rental unit,Entire home/apt,2012-07-24,"Barcelona, Spain",within a few hours,100%,87%,t,2.0,23.0,t,t,2,1.0,1 bath,1.0,1.0,"[""Bed linens"", ""Oven"", ""AC - split type ductless system"", ""Babysitter recommendations"", ""Hot water"", ""Books and reading material"", ""Body soap"", ""Otro stainless steel induction stove"", ""Paid parking on premises"", ""Cooking basics"", ""Wifi"", ""Shampoo"", ""Fire extinguisher"", ""Microwave"", ""Hangers"", ""First aid kit"", ""Hair dryer"", ""Cleaning available during stay"", ""Long term stays allowed"", ""Kitchen"", ""Toaster"", ""Luggage dropoff allowed"", ""Dining table"", ""Pack \u2019n play/Travel crib"", ""Wine glasses"", ""Portable fans"", ""City skyline view"", ""Extra pillows and blankets"", ""Hot water kettle"", ""Elevator"", ""Dedicated workspace"", ""Host greets you"", ""Iron"", ""Outdoor furniture"", ""Free washer \u2013 In unit"", ""Private patio or balcony"", ""Cleaning products"", ""Coffee maker"", ""Shower gel"", ""Paid crib"", ""Single level home"", ""Drying rack for clothing"", ""Clothing storage: closet"", ""Dishes and silverware"", ""Paid parking off premises"", ""Refrigerator"", ""Blender"", ""TV"", ""Heating"", ""Freezer"", ""Essentials"", ""Dishwasher""]",$224.00,2,6,1.0,3.0,6.0,6.0,2.9,6.0,t,8,22,26,91,91,483,61,4,56,3.55,4.86,4.9,4.89,4.88,4.95
1000,3400569,20250612050654,17082106,41.39896,2.20761,el Poblenou,Sant Martí,Entire rental unit,Entire home/apt,2014-06-21,"Barcelona, Spain",within a day,100%,53%,t,1.0,1.0,t,t,4,1.0,1 bath,2.0,0.0,"[""Bed linens"", ""Oven"", ""Babysitter recommendations"", ""Baby bath"", ""Fast wifi \u2013 521 Mbps"", ""Private entrance"", ""Beach essentials"", ""Hot water"", ""Room-darkening shades"", ""High chair"", ""Books and reading material"", ""Central air conditioning"", ""Clothing storage: closet and dresser"", ""Cooking basics"", ""Children\u2019s dinnerware"", ""Washer"", ""Coffee maker: espresso machine, french press"", ""Microwave"", ""Noise decibel monitors on property"", ""Hangers"", ""First aid kit"", ""Hair dryer"", ""Waterfront"", ""Long term stays allowed"", ""Kitchen"", ""Baking sheet"", ""Stove"", ""Toaster"", ""Bathtub"", ""Luggage dropoff allowed"", ""Dining table"", ""Pack \u2019n play/Travel crib"", ""Portable fans"", ""Extra pillows and blankets"", ""Elevator"", ""Dedicated workspace"", ""Iron"", ""Pets allowed"", ""Ethernet connection"", ""Children\u2019s books and toys"", ""Cleaning products"", ""Paid parking garage on premises"", ""Single level home"", ""Drying rack for clothing"", ""Laundromat nearby"", ""Dishes and silverware"", ""Refrigerator"", ""TV"", ""Heating"", ""Freezer"", ""Essentials""]",$80.00,32,730,32.0,32.0,730.0,730.0,32.0,730.0,t,0,0,0,227,54,50,2,0,0,0.37,4.62,4.62,4.64,4.84,4.78
1200,4619507,20250612050654,23928665,41.40016,2.17205,la Dreta de l'Eixample,Eixample,Private room in home,Private room,2014-11-19,"Barcelona, Spain",,,,f,1.0,2.0,t,f,2,,1 shared bath,,,"[""Bed linens"", ""Oven"", ""Coffee"", ""Books and reading material"", ""Cooking basics"", ""Sound system"", ""Wifi"", ""Washer"", ""Lock on bedroom door"", ""Microwave"", ""Hangers"", ""First aid kit"", ""Clothing storage"", ""Rice maker"", ""Exercise equipment"", ""Kitchen"", ""Baking sheet"", ""Stove"", ""Toaster"", ""Wine glasses"", ""Extra pillows and blankets"", ""Hot water kettle"", ""Elevator"", ""Coffee maker"", ""Dishes and silverware"", ""Refrigerator"", ""Blender"", ""TV"", ""Heating"", ""Freezer"", ""Trash compactor"", ""Essentials"", ""Mini fridge""]",,2,7,2.0,2.0,7.0,7.0,2.0,7.0,t,0,0,0,0,0,2,0,0,0,0.02,5.0,5.0,4.5,5.0,5.0
1400,5891589,20250612050654,30188564,41.37338,2.1673,el Poble Sec,Sants-Montjuïc,Private room in rental unit,Private room,2015-03-29,"Barcelona, Spain",,,,f,1.0,2.0,t,t,2,,1 bath,,,"[""Hair dryer"", ""Smoking allowed"", ""Washer"", ""Hangers"", ""Wifi"", ""Kitchen"", ""Hot water"", ""Elevator"", ""Essentials"", ""Iron"", ""Bed linens"", ""Shampoo""]",,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,t,0,0,0,0,0,12,0,0,0,0.1,4.92,4.83,4.92,4.92,4.92
1600,7230117,20250612050654,4311145,41.41066,2.16015,el Camp d'en Grassot i Gràcia Nova,Gràcia,Entire rental unit,Entire home/apt,2012-12-03,"Barcelona, Spain",within an hour,100%,99%,f,2.0,14.0,t,t,3,1.0,1 bath,1.0,2.0,"[""Hangers"", ""Dedicated workspace"", ""Refrigerator"", ""Elevator"", ""Coffee maker"", ""Drying rack for clothing"", ""Extra pillows and blankets"", ""Heating"", ""Room-darkening shades"", ""Gel body soap"", ""Fire extinguisher"", ""Kitchen"", ""Air conditioning"", ""Iron"", ""Shower gel"", ""Bed linens"", ""Cleaning products"", ""Shampoo"", ""Crib"", ""Dishes and silverware"", ""Washer"", ""TV"", ""Essentials"", ""Clothing storage: walk-in closet"", ""Hair dryer"", ""Hot water"", ""Cooking basics"", ""Wifi""]",$133.00,3,730,3.0,4.0,1125.0,1125.0,3.2,1125.0,t,3,10,24,295,122,224,34,2,36,1.85,4.55,4.67,4.46,4.73,4.6
1800,8020706,20250612050654,40676061,41.37555,2.16093,Sant Antoni,Eixample,Entire rental unit,Entire home/apt,2015-08-06,"Barcelona, Spain",within an hour,100%,99%,t,25.0,27.0,t,t,4,1.0,1 bath,2.0,2.0,"[""Hot water"", ""Cooking basics"", ""Wifi"", ""Washer"", ""Shampoo"", ""Microwave"", ""Hangers"", ""Hair dryer"", ""Kitchen"", ""Pack \u2019n play/Travel crib"", ""Elevator"", ""Crib"", ""Dedicated workspace"", ""Host greets you"", ""Iron"", ""Dishes and silverware"", ""TV"", ""Essentials"", ""Air conditioning""]",$90.00,1,1125,1.0,6.0,1.0,1125.0,2.0,683.6,t,8,8,26,126,122,392,55,5,45,3.33,4.9,4.88,4.9,4.91,4.92
