Unnamed: 0,scrape_id,latitude,neighbourhood_cleansed,property_type,host_since,host_response_time,host_acceptance_rate,host_listings_count,host_has_profile_pic,accommodates,bathrooms_text,beds,price,maximum_nights,maximum_minimum_nights,maximum_maximum_nights,maximum_nights_avg_ntm,availability_30,availability_90,availability_eoy,number_of_reviews_ltm,number_of_reviews_ly,review_scores_rating,review_scores_cleanliness,review_scores_location
0,20250612050654,41.40556,la Sagrada Família,Entire rental unit,2010-01-19,within an hour,91%,44.0,t,8,2 baths,6.0,$232.00,1125,5.0,999.0,999.0,11,53,65,6,5,4.3,4.53,4.81
1,20250612050654,41.41243172529066,el Besòs i el Maresme,Entire rental unit,2010-03-09,within an hour,96%,6.0,t,5,2 baths,4.0,$382.00,32,7.0,1125.0,1125.0,6,29,124,10,7,4.82,4.9,4.65
2,20250612050654,41.40566,el Camp d'en Grassot i Gràcia Nova,Entire rental unit,2010-05-31,within an hour,100%,3.0,t,6,1.5 baths,3.0,$186.00,31,1.0,31.0,31.0,5,31,39,26,37,4.46,4.38,4.89
3,20250612050654,41.38062,el Barri Gòtic,Entire condo,2010-01-24,within an hour,94%,5.0,t,2,1 bath,1.0,$131.00,180,31.0,180.0,180.0,30,90,193,9,17,4.36,4.55,4.73
4,20250612050654,41.3764,la Barceloneta,Entire rental unit,2011-11-27,within an hour,28%,356.0,t,3,1 bath,3.0,$285.00,330,2.0,330.0,330.0,30,90,193,0,1,4.0,4.0,5.0
5,20250612050654,41.39271,el Fort Pienc,Entire condo,2011-11-23,within an hour,99%,15.0,t,6,2 baths,8.0,$197.00,1125,1.0,1125.0,1125.0,8,37,132,17,13,4.62,4.64,4.77
6,20250612050654,41.38184,la Nova Esquerra de l'Eixample,Entire rental unit,2012-02-21,within an hour,99%,7.0,t,4,1 bath,2.0,$185.00,30,2.0,1125.0,1125.0,6,21,106,42,41,4.76,4.68,4.75
7,20250612050654,41.38422,"Sant Pere, Santa Caterina i la Ribera",Entire rental unit,2012-02-22,,4%,1.0,t,6,1.5 baths,4.0,$220.00,1125,4.0,1125.0,1125.0,1,7,64,2,2,4.56,4.56,4.97
8,20250612050654,41.40508,la Vila de Gràcia,Entire home,2012-02-25,within an hour,100%,2.0,t,3,1 bath,3.0,$254.00,10,2.0,1125.0,1125.0,0,9,73,65,74,4.91,4.93,4.96
9,20250612050654,41.40502,Diagonal Mar i el Front Marítim del Poblenou,Entire rental unit,2012-02-27,within an hour,99%,5.0,t,4,1 bath,2.0,$167.00,1125,2.0,1125.0,1125.0,2,20,91,57,64,4.68,4.57,4.67
10,20250612050654,41.38428,la Barceloneta,Private room in rental unit,2012-02-28,,,2.0,t,2,1 private bath,,,150,31.0,150.0,150.0,0,0,0,0,0,4.73,4.84,4.71
11,20250612050654,41.37961,el Raval,Entire rental unit,2012-03-01,,,2.0,t,2,1 bath,,,350,32.0,350.0,350.0,0,0,0,0,0,4.2,4.39,4.54
12,20250612050654,41.37978,el Barri Gòtic,Entire rental unit,2010-01-24,within an hour,94%,5.0,t,9,3 baths,6.0,$449.00,365,5.0,1125.0,1125.0,9,48,143,31,34,4.56,4.65,4.66
13,20250612050654,41.38043,la Barceloneta,Private room in rental unit,2010-07-05,,,1.0,t,1,1 shared bath,1.0,$46.00,65,31.0,65.0,65.0,29,89,89,0,0,4.79,4.71,4.92
14,20250612050654,41.375553476091895,Sant Antoni,Entire condo,2012-03-01,within an hour,100%,1.0,t,4,1 bath,2.0,$198.00,15,3.0,1125.0,1125.0,10,30,118,39,40,4.66,4.63,4.8
15,20250612050654,41.37911,la Nova Esquerra de l'Eixample,Entire rental unit,2011-10-07,within an hour,92%,4.0,t,4,1.5 baths,3.0,$422.00,1125,5.0,1125.0,1125.0,8,68,170,3,5,4.69,4.59,4.83
16,20250612050654,41.38545,"Sant Pere, Santa Caterina i la Ribera",Entire rental unit,2011-11-27,within an hour,28%,356.0,t,6,1 bath,4.0,$240.00,330,32.0,330.0,330.0,30,90,191,1,3,4.8,4.8,5.0
17,20250612050654,41.41892,el Coll,Entire rental unit,2011-11-26,within an hour,99%,2.0,t,4,1 bath,3.0,$160.00,365,4.0,1125.0,1125.0,8,28,98,44,60,4.65,4.7,4.56
18,20250612050654,41.39639,la Dreta de l'Eixample,Entire rental unit,2011-11-27,within an hour,28%,356.0,t,6,2 baths,4.0,$286.00,330,1.0,330.0,330.0,30,90,192,0,1,3.75,4.38,4.25
19,20250612050654,41.38992,la Dreta de l'Eixample,Entire rental unit,2011-06-07,within an hour,81%,5.0,t,2,1 bath,1.0,$800.00,360,3.0,360.0,360.0,25,85,181,0,8,4.97,4.98,5.0
20,20250612050654,41.38203,"Sant Pere, Santa Caterina i la Ribera",Entire rental unit,2012-10-06,within an hour,10%,1.0,t,6,2 baths,6.0,$555.00,60,4.0,60.0,60.0,0,35,137,5,7,4.63,4.75,4.9
21,20250612050654,41.39631,la Dreta de l'Eixample,Entire condo,2010-07-22,within an hour,100%,12.0,t,4,1 bath,2.0,$158.00,364,2.0,364.0,364.0,1,23,100,73,61,4.52,4.55,4.9
22,20250612050654,41.40568,el Camp d'en Grassot i Gràcia Nova,Entire rental unit,2010-07-28,within an hour,82%,4.0,t,4,2 baths,4.0,$179.00,365,3.0,1125.0,1125.0,15,70,143,23,27,4.32,4.22,4.72
23,20250612050654,41.4057,el Camp d'en Grassot i Gràcia Nova,Entire rental unit,2010-05-31,within an hour,100%,3.0,t,6,1 bath,7.0,$186.00,31,1.0,31.0,31.0,7,28,37,27,31,4.63,4.41,4.89
24,20250612050654,41.41129,el Camp de l'Arpa del Clot,Entire rental unit,2010-11-06,within a few hours,100%,1.0,t,5,2 baths,3.0,$252.00,90,10.0,90.0,77.5,0,11,41,25,19,4.5,4.47,4.39
25,20250612050654,41.3806,el Barri Gòtic,Entire vacation home,2011-01-09,within an hour,100%,2.0,t,4,2 baths,2.0,$128.00,730,31.0,730.0,730.0,24,84,187,1,1,4.75,4.31,4.9
26,20250612050654,41.41841,Vallcarca i els Penitents,Entire rental unit,2011-01-28,,0%,1.0,t,9,3.5 baths,5.0,$315.00,28,5.0,28.0,28.0,2,48,60,0,0,5.0,5.0,4.0
27,20250612050654,41.39705,la Dreta de l'Eixample,Entire rental unit,2011-01-28,within an hour,100%,2.0,t,2,1.5 baths,1.0,$209.00,91,2.0,1125.0,1125.0,1,12,116,2,2,4.23,4.45,4.57
28,20250612050654,41.38174,el Raval,Entire rental unit,2011-01-30,a few days or more,0%,10.0,t,4,1.5 baths,5.0,$99.00,730,28.0,730.0,730.0,0,19,122,0,1,3.88,3.25,4.25
29,20250612050654,41.39909,el Poblenou,Entire serviced apartment,2011-02-03,within an hour,96%,6.0,t,3,1 bath,2.0,$322.00,28,5.0,28.0,28.0,30,90,192,159,121,4.73,4.78,4.8
30,20250612050654,41.3795,el Raval,Entire rental unit,2012-03-19,within an hour,100%,5.0,t,4,1 bath,4.0,$170.00,31,3.0,1125.0,1125.0,4,9,66,50,53,4.49,4.45,4.63
31,20250612050654,41.38268,la Nova Esquerra de l'Eixample,Entire rental unit,2012-03-23,within an hour,99%,3.0,t,2,1 bath,2.0,$178.00,10,3.0,1125.0,1125.0,13,43,96,44,53,4.87,4.91,4.76
32,20250612050654,41.38035,el Barri Gòtic,Entire rental unit,2011-11-27,within an hour,28%,356.0,t,4,1 bath,4.0,$365.00,330,2.0,330.0,330.0,30,90,186,0,0,4.29,4.45,4.45
33,20250612050654,41.37374,el Poble Sec,Entire rental unit,2012-03-30,within an hour,68%,1.0,t,7,2 baths,3.0,$209.00,365,1.0,365.0,365.0,10,37,118,96,95,4.64,4.58,4.85
34,20250612050654,41.40413,la Vila de Gràcia,Entire home,2012-04-05,within an hour,100%,1.0,t,4,1 bath,4.0,$120.00,1125,30.0,1125.0,1125.0,3,63,153,3,3,4.72,4.74,4.85
35,20250612050654,41.37973,el Barri Gòtic,Entire serviced apartment,2012-04-10,within an hour,99%,8.0,t,5,2 baths,3.0,$390.00,365,5.0,1125.0,456.6,1,6,47,33,36,4.7,4.8,4.87
